"PROVINCIA","SECCION","Circuito","NOMBRE_CATEGORIA","NOMBRE_AGRUPACION","PASO","GRAL"
"Buenos Aires","Avellaneda","0027","Presidente y Vicepresidente de la República","VR",0,16
"Buenos Aires","Avellaneda","0030","Presidente y Vicepresidente de la República","CONSENSO FEDERAL",415,253
"Buenos Aires","Avellaneda","0030","Presidente y Vicepresidente de la República","CSCCC",9,4
"Buenos Aires","Avellaneda","0030","Presidente y Vicepresidente de la República","FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD",199,136
"Buenos Aires","Avellaneda","0030","Presidente y Vicepresidente de la República","FRENTE DE TODOS",2051,1957
"Buenos Aires","Avellaneda","0030","Presidente y Vicepresidente de la República","FRENTE NOS",39,30
"Buenos Aires","Avellaneda","0030","Presidente y Vicepresidente de la República","JUNTOS POR EL CAMBIO",1495,1558
"Buenos Aires","Avellaneda","0030","Presidente y Vicepresidente de la República","UNITE POR LA LIBERTAD Y LA DIGNIDAD",116,83
"Buenos Aires","Avellaneda","0030","Presidente y Vicepresidente de la República","VB",93,47
"Buenos Aires","Avellaneda","0030","Presidente y Vicepresidente de la República","VII",0,0
"Buenos Aires","Avellaneda","0030","Presidente y Vicepresidente de la República","VN",28,16
"Buenos Aires","Avellaneda","0030","Presidente y Vicepresidente de la República","VR",1,1
"Buenos Aires","Avellaneda","0031","Presidente y Vicepresidente de la República","CONSENSO FEDERAL",97,67
"Buenos Aires","Avellaneda","0031","Presidente y Vicepresidente de la República","CSCCC",3,3
"Buenos Aires","Avellaneda","0031","Presidente y Vicepresidente de la República","FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD",45,28
"Buenos Aires","Avellaneda","0031","Presidente y Vicepresidente de la República","FRENTE DE TODOS",499,521
"Buenos Aires","Avellaneda","0031","Presidente y Vicepresidente de la República","FRENTE NOS",7,1
"Buenos Aires","Avellaneda","0031","Presidente y Vicepresidente de la República","JUNTOS POR EL CAMBIO",365,434
"Buenos Aires","Avellaneda","0031","Presidente y Vicepresidente de la República","UNITE POR LA LIBERTAD Y LA DIGNIDAD",24,24
"Buenos Aires","Avellaneda","0031","Presidente y Vicepresidente de la República","VB",22,13
"Buenos Aires","Avellaneda","0031","Presidente y Vicepresidente de la República","VII",0,0
"Buenos Aires","Avellaneda","0031","Presidente y Vicepresidente de la República","VN",21,24
"Buenos Aires","Avellaneda","0031","Presidente y Vicepresidente de la República","VR",0,0
"Buenos Aires","Avellaneda","0032","Presidente y Vicepresidente de la República","CONSENSO FEDERAL",266,216
"Buenos Aires","Avellaneda","0032","Presidente y Vicepresidente de la República","CSCCC",3,3
"Buenos Aires","Avellaneda","0032","Presidente y Vicepresidente de la República","FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD",121,91
"Buenos Aires","Avellaneda","0032","Presidente y Vicepresidente de la República","FRENTE DE TODOS",1822,1787
"Buenos Aires","Avellaneda","0032","Presidente y Vicepresidente de la República","FRENTE NOS",32,28
"Buenos Aires","Avellaneda","0032","Presidente y Vicepresidente de la República","JUNTOS POR EL CAMBIO",845,975
"Buenos Aires","Avellaneda","0032","Presidente y Vicepresidente de la República","UNITE POR LA LIBERTAD Y LA DIGNIDAD",74,40
"Buenos Aires","Avellaneda","0032","Presidente y Vicepresidente de la República","VB",87,51
"Buenos Aires","Avellaneda","0032","Presidente y Vicepresidente de la República","VII",0,0
"Buenos Aires","Avellaneda","0032","Presidente y Vicepresidente de la República","VN",9,6
"Buenos Aires","Avellaneda","0032","Presidente y Vicepresidente de la República","VR",0,0
"Buenos Aires","Avellaneda","0033","Presidente y Vicepresidente de la República","CONSENSO FEDERAL",967,734
"Buenos Aires","Avellaneda","0033","Presidente y Vicepresidente de la República","CSCCC",10,10
"Buenos Aires","Avellaneda","0033","Presidente y Vicepresidente de la República","FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD",397,319
"Buenos Aires","Avellaneda","0033","Presidente y Vicepresidente de la República","FRENTE DE TODOS",3729,4136
"Buenos Aires","Avellaneda","0033","Presidente y Vicepresidente de la República","FRENTE NOS",83,56
"Buenos Aires","Avellaneda","0033","Presidente y Vicepresidente de la República","JUNTOS POR EL CAMBIO",3196,3996
"Buenos Aires","Avellaneda","0033","Presidente y Vicepresidente de la República","UNITE POR LA LIBERTAD Y LA DIGNIDAD",227,194
"Buenos Aires","Avellaneda","0033","Presidente y Vicepresidente de la República","VB",220,98
"Buenos Aires","Avellaneda","0033","Presidente y Vicepresidente de la República","VII",3,1
"Buenos Aires","Avellaneda","0033","Presidente y Vicepresidente de la República","VN",40,50
"Buenos Aires","Avellaneda","0033","Presidente y Vicepresidente de la República","VR",0,1
"Buenos Aires","Avellaneda","0034","Presidente y Vicepresidente de la República","CONSENSO FEDERAL",1357,1119
"Buenos Aires","Avellaneda","0034","Presidente y Vicepresidente de la República","CSCCC",16,14
"Buenos Aires","Avellaneda","0034","Presidente y Vicepresidente de la República","FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD",676,529
"Buenos Aires","Avellaneda","0034","Presidente y Vicepresidente de la República","FRENTE DE TODOS",8592,9038
"Buenos Aires","Avellaneda","0034","Presidente y Vicepresidente de la República","FRENTE NOS",172,171
"Buenos Aires","Avellaneda","0034","Presidente y Vicepresidente de la República","JUNTOS POR EL CAMBIO",4649,5706
"Buenos Aires","Avellaneda","0034","Presidente y Vicepresidente de la República","UNITE POR LA LIBERTAD Y LA DIGNIDAD",357,273
"Buenos Aires","Avellaneda","0034","Presidente y Vicepresidente de la República","VB",382,260
"Buenos Aires","Avellaneda","0034","Presidente y Vicepresidente de la República","VII",3,0
"Buenos Aires","Avellaneda","0034","Presidente y Vicepresidente de la República","VN",49,42
"Buenos Aires","Avellaneda","0034","Presidente y Vicepresidente de la República","VR",9,7
"Buenos Aires","Avellaneda","0037","Presidente y Vicepresidente de la República","CONSENSO FEDERAL",1205,1017
"Buenos Aires","Avellaneda","0037","Presidente y Vicepresidente de la República","CSCCC",17,16
"Buenos Aires","Avellaneda","0037","Presidente y Vicepresidente de la República","FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD",600,468
"Buenos Aires","Avellaneda","0037","Presidente y Vicepresidente de la República","FRENTE DE TODOS",7818,8750
"Buenos Aires","Avellaneda","0037","Presidente y Vicepresidente de la República","FRENTE NOS",169,152
"Buenos Aires","Avellaneda","0037","Presidente y Vicepresidente de la República","JUNTOS POR EL CAMBIO",4295,5702
"Buenos Aires","Avellaneda","0037","Presidente y Vicepresidente de la República","UNITE POR LA LIBERTAD Y LA DIGNIDAD",348,243
"Buenos Aires","Avellaneda","0037","Presidente y Vicepresidente de la República","VB",334,179
"Buenos Aires","Avellaneda","0037","Presidente y Vicepresidente de la República","VII",6,9
"Buenos Aires","Avellaneda","0037","Presidente y Vicepresidente de la República","VN",44,59
"Buenos Aires","Avellaneda","0037","Presidente y Vicepresidente de la República","VR",12,11
"Buenos Aires","Avellaneda","0038","Presidente y Vicepresidente de la República","CONSENSO FEDERAL",2377,1794
"Buenos Aires","Avellaneda","0038","Presidente y Vicepresidente de la República","CSCCC",33,20
"Buenos Aires","Avellaneda","0038","Presidente y Vicepresidente de la República","FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD",1057,840
"Buenos Aires","Avellaneda","0038","Presidente y Vicepresidente de la República","FRENTE DE TODOS",13850,14681
"Buenos Aires","Avellaneda","0038","Presidente y Vicepresidente de la República","FRENTE NOS",292,316
"Buenos Aires","Avellaneda","0038","Presidente y Vicepresidente de la República","JUNTOS POR EL CAMBIO",8095,9820
"Buenos Aires","Avellaneda","0038","Presidente y Vicepresidente de la República","UNITE POR LA LIBERTAD Y LA DIGNIDAD",603,438
"Buenos Aires","Avellaneda","0038","Presidente y Vicepresidente de la República","VB",708,389
"Buenos Aires","Avellaneda","0038","Presidente y Vicepresidente de la República","VII",7,7
"Buenos Aires","Avellaneda","0038","Presidente y Vicepresidente de la República","VN",148,142
"Buenos Aires","Avellaneda","0038","Presidente y Vicepresidente de la República","VR",0,1
"Buenos Aires","Avellaneda","0039","Presidente y Vicepresidente de la República","CONSENSO FEDERAL",2840,2433
"Buenos Aires","Avellaneda","0039","Presidente y Vicepresidente de la República","CSCCC",59,22
"Buenos Aires","Avellaneda","0039","Presidente y Vicepresidente de la República","FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD",1284,1016
